movie_odid,display_name,release_date,territory,release_pattern,distributor
1720100,Fast & Furious,2009-04-03,North America,Wide,Universal
1730100,Over the Hedge,2006-05-19,North America,Wide,Paramount Pictures
1740100,Fantastic Four,2005-07-08,North America,Wide,20th Century Fox
1750100,Horton Hears a Who,2008-03-14,North America,Wide,20th Century Fox
1790100,Scooby-Doo,2002-06-14,North America,Wide,Warner Bros.
1800100,101 Dalmatians,1961-01-25,North America,Wide,Walt Disney
1800100,101 Dalmatians,1985-12-20,North America,Wide,Walt Disney
1800100,101 Dalmatians,1991-07-12,North America,Wide,Walt Disney
1800100,101 Dalmatians,1995-04-07,Australia,Wide,
1800100,101 Dalmatians,2018-08-03,New Zealand,Wide,
1810100,Sex and the City,2008-05-30,North America,Wide,Warner Bros.
1820100,Runaway Bride,1999-07-30,North America,Wide,Paramount Pictures
1840100,Terminator 3: Rise of the Machines,2003-07-01,North America,Wide,Warner Bros.
1850100,Knocked Up,2007-06-01,North America,Wide,Universal
1860100,As Good as it Gets,1997-12-24,North America,Wide,Sony Pictures
1870100,Talladega Nights: The Ballad of Ricky Bobby,2006-08-04,North America,Wide,Sony Pictures
1880100,Gremlins,1984-06-08,North America,Wide,Warner Bros.
1880100,Gremlins,2017-12-29,Spain,Wide,
1890100,Gran Torino,2008-12-12,North America,Limited,Warner Bros.
1890100,Gran Torino,2009-01-09,North America,Expands Wide,Warner Bros.
1910100,G.I. Joe: The Rise of Cobra,2009-08-07,North America,Wide,Paramount Pictures
1920100,Paul Blart: Mall Cop,2009-01-16,North America,Wide,Sony Pictures
1940100,Lilo & Stitch,2002-06-21,North America,Wide,Walt Disney
1960100,Taken,2009-01-30,North America,Wide,20th Century Fox
1980100,"I, Robot",2004-07-16,North America,Wide,20th Century Fox
2000100,The Fast and the Furious,2001-06-22,North America,Wide,Universal
2010100,Doctor Dolittle,1998-06-26,North America,Wide,20th Century Fox
2020100,Mamma Mia!,2008-07-02,Netherlands,Wide,
2020100,Mamma Mia!,2008-07-10,United Kingdom,Wide,
2020100,Mamma Mia!,2008-07-18,North America,Wide,Universal
2020100,Mamma Mia!,2008-08-22,Argentina,Wide,
2020100,Mamma Mia!,2018-05-11,Australia,Wide,
2020100,Mamma Mia!,2018-05-11,Netherlands,Wide,
2020100,Mamma Mia!,2018-05-11,New Zealand,Wide,
2030100,Juno,2007-12-05,North America,Exclusive,Fox Searchlight
2040100,Marley & Me,2008-12-25,North America,Wide,20th Century Fox
2050100,xXx,2002-08-09,North America,Wide,Sony Pictures
2070100,The Chronicles of Narnia: Prince Caspian,2008-05-16,North America,Wide,Walt Disney
2110100,Slumdog Millionaire,2008-11-12,North America,Limited,Fox Searchlight
2120100,Rush Hour,1998-09-18,North America,Wide,New Line
2130100,The Blair Witch Project,1999-07-14,North America,Wide,Artisan
2140100,Deep Impact,1998-05-08,North America,Wide,Paramount Pictures
2150100,Rush Hour 3,2007-08-10,North America,Wide,New Line
2170100,Stuart Little,1999-12-17,North America,Wide,Sony Pictures
2180100,The Rocky Horror Picture Show,1975-09-26,North America,Limited,20th Century Fox
2180100,The Rocky Horror Picture Show,1975-12-18,Australia,Wide,
2180100,The Rocky Horror Picture Show,1998-06-20,South Korea,Wide,
2180100,The Rocky Horror Picture Show,2015-11-12,United Kingdom,Special Engagement,
2180100,The Rocky Horror Picture Show,2018-10-26,North America,Limited,20th Century Fox
2210100,The Matrix Revolutions,2003-11-05,North America,Wide,Warner Bros.
2220100,The Santa Clause 2,2002-11-01,North America,Wide,Walt Disney
2230100,Cheaper by the Dozen,2003-12-25,North America,Wide,20th Century Fox
2240100,Bad Boys II,2003-07-18,North America,Wide,Sony Pictures
2250100,Good Will Hunting,1997-12-05,North America,Wide,Miramax
2250100,Good Will Hunting,1998-03-21,South Korea,Wide,
2260100,Platoon,1986-12-19,North America,Wide,Orion Pictures
2260100,Platoon,2017-06-23,South Korea,Wide,
2270100,Dinosaur,2000-05-19,North America,Wide,Walt Disney
2280100,Click,2006-06-23,North America,Wide,Sony Pictures
2290100,The Green Mile,1999-12-10,North America,Wide,Warner Bros.
2310100,Godzilla,1998-05-19,North America,Wide,Sony Pictures
2330100,Anger Management,2003-04-11,North America,Wide,Sony Pictures
2340100,Chicken Little,2005-11-04,North America,Wide,Walt Disney
2360100,Patch Adams,1998-12-25,North America,Wide,Universal
2370100,The Godfather,1972-03-15,North America,Wide,Paramount Pictures
2370100,The Godfather,2012-03-01,North America,Special Engagement,Paramount Pictures
2370100,The Godfather,2013-04-10,North America,Special Engagement,Cinemark
2370100,The Godfather,2018-06-29,Spain,Wide,
