movie_odid,display_name,rental_revenue,vod_revenue,rental_and_vod_revenue,streaming_revenue,est_revenue
9820100,The Omen,,,,,
9830100,Crash,,,,,
9870100,TMNT,,,,,
9880100,Final Destination 3,,,,,
9970100,P.S. I Love You,,,,,
9990100,Jet Li's Hero,,288,,,
10060100,"Yours, Mine and Ours",,,,,
10070100,Corpse Bride,,,,,365709
10120100,The Prestige,,,,,
10140100,Blow,,3291,,,47950
10170100,Sweeney Todd: The Demon Barber of Fleet Street,,,,,
10180100,Varsity Blues,,,,,
10190100,Message in a Bottle,,,,,
10210100,Kicking and Screaming,,253542,,,
10290100,The Strangers,,,,,
10310100,The Royal Tenenbaums,,,,,
10320100,Radio,,,,,
10330100,The Lake House,,,,,
10400100,The Forbidden Kingdom,,,,,403685
10430100,Underworld,,3149466,,,85078
10440100,King Arthur,,,,,
10450100,Funny People,,497601,33644716,,
10480100,Exit Wounds,,,,,
10490100,Finding Neverland,,,,,
10510100,My Bloody Valentine,,,,,
10520100,A Cinderella Story,,,,,
10560100,Hoodwinked,,,,,
10630100,Hide and Seek,,65208,,,
10700100,The Hitchhiker's Guide to the Galaxy,,,,,
10710100,Atonement,,31080,,,
10730100,The Tale of Despereaux,,,,,
10760100,Syriana,,38768,,,
10820100,The Hurricane,,,,,
10840100,Resident Evil: Extinction,,,,,204454
10900100,Music and Lyrics,,,,,
10920100,The Nightmare Before Christmas,0,81617490,,,8997056
10930100,Diary of a Mad Black Woman,,,,,
10950100,K-PAX,,,,,
11010100,Absolute Power,,,,,
11030100,Stigmata,,,,,
11040100,Home on the Range,,,,,
11160100,Racing Stripes,,,,,
11190100,Australia,,,,,692156
11210100,Land of the Lost,,694548,14358354,,715413
11260100,This Christmas,,,,,
11280100,My Sister's Keeper,,,21025826,,480227
11300100,Michael Clayton,,190140,0,,
11330100,Firewall,,6386,,,
11350100,Date Movie,,,,,
11360100,Miss Congeniality 2: Armed and Fabulous,,,,,
11370100,Peter Pan: Return to Neverland,,,,,143599
11390100,Just Like Heaven,,602302,,,
11400100,The Game,,41222,,,
11410100,The House Bunny,,,,,
11500100,Nim's Island,,,,,
11510100,Cleopatra,,,,,1729298
11560100,The Skeleton Key,,,,,
11570100,The Jungle Book 2,,,,,
11590100,When a Stranger Calls,,,,,
11600100,Premonition,0,366470,,,
11630100,Dan in Real Life,,,,,
11640100,The Rundown,,,,,
11690100,The Kingdom,,,,,46012
11700100,Kingdom of Heaven,,721960,,,
11720100,Munich,,429327,,,
11730100,Hostel,,26090,,,
11750100,Nanny McPhee,,,,,
11760100,First Blood,,,,,
11780100,Kate and Leopold,,,,,
11790100,Shooter,,32000,,,
11810100,Silent Hill,,,0,,
11850100,Practical Magic,,6225,,,
11880100,Boogeyman,,,,,
11890100,Goodfellas,,198470,,,3582668
11960100,Phone Booth,,,,,
12030100,Walking Tall,,132975,,,
12080100,Made of Honor,,,,,
12140100,Underworld 3: Rise of the Lycans,,,,,
12170100,College Road Trip,,,,,
12190100,The Legend of Zorro,,,,,
12200100,"O Brother, Where Art Thou?",,33740,,,
12270100,Zoolander,,760632,,,
12280100,28 Days Later…,,37636,,,
12320100,Frequency,,,,,
12360100,Cop Land,,,,,
12400100,The Replacements,,,,,
12460100,Lost in Translation,,,,,
12470100,Napoleon Dynamite,,109234,,,
12530100,Confessions of a Shopaholic,,,0,,
12560100,The Sisterhood of the Traveling Pants 2,,,,,
12580100,The Shining,,625336,,,
12590100,The Last Emperor,,149209,,,
12600100,Speed Racer,,,,,
12610100,The One,,,,,
12640100,Must Love Dogs,,,,,
12650100,Prom Night,,467,,,
12680100,License to Wed,,,,,
12690100,Underdog,,,,,
12710100,West Side Story,,,,,1749210
12730100,Under the Tuscan Sun,,,0,,
12750100,We Are Marshall,,,,,
12790100,Year One,,27622,22955055,,623477
12850100,No Reservations,,,,,
12870100,The Transporter 2,,,,,
12880100,Reign of Fire,,,,,
12930100,Rumor Has It,,,,,
12960100,The Devil's Own,,,,,
12970100,Rambo,,,,,365159
12980100,The Lizzie McGuire Movie,,,,,
13000100,Because I Said So,,,,,
13010100,The Unborn,,,0,,
13030100,Glory Road,,,,,
13060100,Deep Sea 3D,,,,,
13080100,Welcome Home Roscoe Jenkins,,,,,
13140100,Lady in the Water,,,,,
13190100,Drag Me To Hell,,,11661504,,539357
13200100,Fever Pitch,,,,,
13230100,Secondhand Lions,,,,,
13250100,Meet the Browns,,,,,
13260100,Donnie Brasco,,,,,
13270100,Thirteen Ghosts,,,,,
13280100,Nights in Rodanthe,,,,,
13340100,Aliens vs. Predator - Requiem,,,,,
13350100,The Hills Have Eyes,,,,,
13390100,Ronin,,10179,,,
13410100,High Crimes,,,,,
13480100,Orphan,,,6134177,,607388
13500100,Gosford Park,,,,,
13520100,The Peacemaker,,,,,
13530100,A Walk to Remember,,13378,,,
13560100,Out of Time,,326754,,,
13590100,John Tucker Must Die,,41544,,,
